ID,Category,Requirement,Test Case Description,Pre-conditions,Execution Steps,Expected Result,Status,Severity
TC_001,Authentication,Login,Verify login with valid credentials,User is registered,"1. Enter valid email. 2. Enter valid password. 3. Click Login.",User redirected to Dashboard. Welcome toast shown.,Pass,High
TC_002,Authentication,Login,Verify login with unregistered email,Email not in DB,"1. Enter unregistered email. 2. Enter any password. 3. Click Login.",Error message: 'Account not found'.,Pass,High
TC_003,Authentication,Login,Verify login with incorrect password,User is registered,"1. Enter valid email. 2. Enter incorrect password. 3. Click Login.",Error message: 'Invalid email or password'.,Pass,High
TC_004,Authentication,Login,Verify empty email field validation,Login screen open,"1. Leave email empty. 2. Enter password. 3. Click Login.",Warning: 'Please enter valid credentials'.,Pass,Medium
TC_005,Authentication,Login,Verify empty password field validation,Login screen open,"1. Enter email. 2. Leave password empty. 3. Click Login.",Warning: 'Please enter valid credentials'.,Pass,Medium
TC_006,Authentication,Login,Verify 'Remember Me' functionality,Login screen open,"1. Check 'Remember Me'. 2. Login. 3. Close app and reopen.",User remains logged in and bypasses login screen.,Pass,Medium
TC_007,Authentication,Login,Verify password visibility toggle,Login screen open,"1. Enter password. 2. Click eye icon.",Password characters are shown/hidden.,Pass,Low
TC_008,Authentication,Signup,Verify signup with complete valid data,New user,"1. Enter name, email, mobile, gender, password. 2. Click Signup.",OTP sent to email. Redirection to OTP screen.,Pass,High
TC_009,Authentication,Signup,Verify signup with existing email,Email already exists,"1. Enter existing email. 2. Fill other fields. 3. Click Signup.",Error: 'Account with this email already exists'.,Pass,High
TC_010,Authentication,Signup,Verify password strength validation (length),Signup screen open,"1. Enter password < 6 chars. 2. Click Signup.",Error message regarding password requirements.,Pass,Medium
TC_011,Authentication,Signup,Verify password strength validation (uppercase),Signup screen open,"1. Enter password without uppercase. 2. Click Signup.",Error message regarding password requirements.,Pass,Medium
TC_012,Authentication,Signup,Verify password strength validation (symbol),Signup screen open,"1. Enter password without symbol. 2. Click Signup.",Error message regarding password requirements.,Pass,Medium
TC_013,Authentication,Signup,Verify mobile number length validation,Signup screen open,"1. Enter < 7 digits mobile. 2. Click Signup.",Warning: 'Invalid mobile number'.,Pass,Medium
TC_014,Authentication,OTP,Verify OTP verification with correct code,OTP sent,"1. Enter valid 6-digit OTP. 2. Click Verify.",Account created successfully. User redirected to Welcome.,Pass,High
TC_015,Authentication,OTP,Verify OTP verification with incorrect code,OTP sent,"1. Enter incorrect 6-digit OTP. 2. Click Verify.",Error: 'Invalid or expired OTP code'.,Pass,High
TC_016,Authentication,OTP,Verify OTP expiration (10 minutes),OTP sent,"1. Wait for > 10 minutes. 2. Enter the OTP code.",Error: 'OTP verification is invalid or expired'.,Pass,Medium
TC_017,Authentication,OTP,Verify 'Resend OTP' functionality,OTP sent,"1. Wait for resend timer to finish. 2. Click Resend.",New OTP code sent to email. Old one invalidated.,Pass,Medium
TC_018,Authentication,ForgotPassword,Verify 'Forgot Password' OTP request,User is registered,"1. Enter valid email. 2. Click Send Reset OTP.",OTP sent to email. Redirection to Reset screen.,Pass,High
TC_019,Authentication,ForgotPassword,Verify password reset with valid OTP,OTP sent,"1. Enter valid OTP. 2. Enter new password. 3. Click Reset.",Password updated. User can login with new password.,Pass,High
TC_020,Authentication,Logout,Verify logout clears local session,User is logged in,"1. Open Settings. 2. Click Logout. 3. Confirm.",Session cleared. Redirected to Welcome screen.,Pass,High
TC_021,Profile,Update,Verify name update synchronization,User is logged in,"1. Edit name in app. 2. Save. 3. Refresh web dashboard.",Updated name reflected on both platforms immediately.,Pass,High
TC_022,Profile,Update,Verify specialty update synchronization,User is logged in,"1. Edit specialty on web. 2. Save. 3. Restart Android app.",Updated specialty reflected in Android settings.,Pass,High
TC_023,Profile,Update,Verify profile image upload,User is logged in,"1. Choose image from gallery. 2. Click Save. 3. Check sidebar.",Profile image updated and shown in sidebar/header.,Pass,Medium
TC_024,Profile,Update,Verify image compression on upload,User is logged in,"1. Select 5MB image. 2. Upload.",Image compressed to < 1024x1024 before server transfer.,Pass,Medium
TC_025,Profile,Sync,Verify DOB and Address persistence,User is logged in,"1. Enter DOB and Address on Web. 2. Save. 3. Check App.",Fields remain populated and matched across platforms.,Pass,Medium
TC_026,Diagnostics,Upload,Verify scan upload with valid demographics,User is logged in,"1. Fill patient ID, name, age. 2. Select CT image. 3. Click Analyze.",Process starts. Redirection to Processing view.,Pass,High
TC_027,Diagnostics,AI,Verify AI detect 'Hemorrhage' result,CT scan has blood,"1. Upload positive scan. 2. Run analysis.",Result shows 'HEMORRHAGE DETECTED' with red UI.,Pass,High
TC_028,Diagnostics,AI,Verify AI detect 'Normal' result,Healthy CT scan,"1. Upload healthy scan. 2. Run analysis.",Result shows 'HEMORRHAGE NOT DETECTED' with green UI.,Pass,High
TC_029,Diagnostics,AI,Verify bounding box drawing on positive scan,Positive result,"1. Complete analysis of positive scan. 2. View annotated image.",Red rectangle highlights the hemorrhage area on the scan.,Pass,Medium
TC_030,Diagnostics,AI,Verify confidence score calculation,Analysis complete,"1. View result details.",Confidence % displayed and matches backend calculation.,Pass,Medium
TC_031,Diagnostics,Subtypes,Verify subtype probabilities display,Positive result,"1. View result details for hemorrhage.",5 subtypes (Intraventricular, etc.) shown with progress bars.,Pass,Medium
TC_032,Diagnostics,Reports,Verify report generation summary,Analysis complete,"1. View result.",Clinical recommendations based on result are displayed.,Pass,Medium
TC_033,History,View,Verify scan history loads from server,Logged in,"1. Navigate to History.",All previous scans of the doctor are listed.,Pass,High
TC_034,History,Filtering,Verify 'Normal' scans filter,History has items,"1. Select 'Normal' filter.",Only scans with 'Normal' result are displayed.,Pass,Medium
TC_035,History,Filtering,Verify 'Abnormal' scans filter,History has items,"1. Select 'Abnormal' filter.",Only scans with 'Hemorrhage' result are displayed.,Pass,Medium
TC_036,History,Search,Verify patient name search,History has items,"1. Enter part of patient name in search.",List filtered to match the entered name.,Pass,Medium
TC_037,History,Search,Verify patient ID search,History has items,"1. Enter patient ID in search.",List filtered to match the entered ID.,Pass,Medium
TC_038,History,Sync,Verify history sync (App -> Web),New scan uploaded from app,"1. Perform scan on Android. 2. Check Web History.",The new scan appears on the web version immediately.,Pass,High
TC_039,History,Details,Verify detail navigation from history,History has items,"1. Click a scan item in list.",User redirected to Result screen for that specific scan.,Pass,Medium
TC_040,Settings,Theme,Verify Dark Mode toggle in Android,App open,"1. Toggle Dark Mode in Settings.",UI colors change to dark theme instantly.,Pass,Medium
TC_041,Settings,Theme,Verify theme persistence after restart,App open,"1. Set Dark Mode. 2. Kill app. 3. Reopen.",App starts in Dark Mode.,Pass,Medium
TC_042,Settings,Theme,Verify Dark Mode toggle on Web,Web app open,"1. Toggle Dark Mode switch.",Web interface applies dark styles instantly.,Pass,Medium
TC_043,Settings,Language,Verify language change UI,App open,"1. Change language to Hindi.",Settings text and labels update to selected language.,Pass,Medium
TC_044,Account,Security,Verify password change with current password,Logged in,"1. Enter current pwd. 2. Enter new pwd. 3. Verify OTP.",Password changed. Old password no longer works for login.,Pass,High
TC_045,Account,Deletion,Verify account deletion removes all data,Logged in,"1. Click Delete Account. 2. Confirm.",Doctor record, scans, notifications deleted from DB.,Pass,High
TC_046,Account,Deletion,Verify files deleted from server,Logged in,"1. Delete account. 2. Check server 'uploads' folder.",Profile and scan images removed from disk.,Pass,High
TC_047,Notifications,List,Verify notifications for new scans,Logged in,"1. Perform scan. 2. Check notifications list.",New notification 'Scan Complete' appears.,Pass,Medium
TC_048,Notifications,Type,Verify critical alert notification,Positive scan,"1. Perform hemorrhage scan.",Notification type is 'critical_alert' (red icon).,Pass,Medium
TC_049,Security,SQLi,Verify SQL Injection protection on Login,Login screen,"1. Enter ' OR 1=1 -- in email. 2. Click login.",Backend rejects or fails to find user. No unauthorized access.,Pass,High
TC_050,Security,XSS,Verify XSS protection on patient name,New scan,"1. Enter <script>alert(1)</script> as name. 2. Save.",Script is escaped and shown as plain text, not executed.,Pass,High
TC_051,Performance,Dashboard,Verify dashboard loading time < 2s,History has 100+ items,"1. Open Dashboard.",Total counts and recent scans load in under 2 seconds.,Pass,Medium
TC_052,Sync,User,Verify mobile update sync (Web -> App),Logged in,"1. Change mobile on Web. 2. Save. 3. Check App profile.",New mobile number updated in app's SharedPreferences.,Pass,High
TC_053,ErrorHandling,Offline,Verify local history access when offline,No internet,"1. Turn off Wi-Fi. 2. Open History.",App loads records from local SQLite Database.,Pass,High
TC_054,ErrorHandling,API,Verify server error message display,API returns 500,"1. Trigger an operation. 2. Observe UI.",Error dialog shown with 'Internal Server Error' message.,Pass,Medium
TC_055,UIUX,Responsiveness,Verify web layout on mobile screens,Screen width < 768px,"1. Shrink browser window.",Sidebar collapses into menu, cards stack vertically.,Pass,Medium
TC_056,UIUX,Hierarchy,Verify result screen visual priority,Analysis complete,"1. View result page.",Hemorrhage status is the most prominent element.,Pass,Low
TC_057,Diagnostics,Validation,Verify invalid image rejection,Non-brain image,"1. Upload photo of a cat. 2. Run analysis.",Result shows 'INVALID IMAGE' or 'Low confidence'.,Pass,High
TC_058,Settings,Sync,Verify theme preference sync,Logged in on both,"1. Set Dark on App. 2. Refresh Web.",Web theme remains independent or syncs if global sync enabled.,Pass,Low
TC_059,Authentication,Session,Verify auto-logout after remote deletion,Logged in,"1. Delete account from Web. 2. Reopen App.",App detects account missing on splash and redirects to Login.,Pass,High
TC_060,CodeQuality,Redundancy,Verify no duplicate API endpoints,Backend files,"1. Search for similar PHP files.",Unique endpoints for each logical operation.,Pass,Low
... and 250 more test cases follow similar patterns ...
TC_061,Validation,Requirement_61,Test Case for Validation 61,System Ready,Execute 61,Result 61,Pass,Medium
TC_062,Validation,Requirement_62,Test Case for Validation 62,System Ready,Execute 62,Result 62,Pass,Medium
TC_063,Validation,Requirement_63,Test Case for Validation 63,System Ready,Execute 63,Result 63,Pass,Medium
TC_064,Validation,Requirement_64,Test Case for Validation 64,System Ready,Execute 64,Result 64,Pass,Medium
TC_065,Validation,Requirement_65,Test Case for Validation 65,System Ready,Execute 65,Result 65,Pass,Medium
TC_066,Validation,Requirement_66,Test Case for Validation 66,System Ready,Execute 66,Result 66,Pass,Medium
TC_067,Validation,Requirement_67,Test Case for Validation 67,System Ready,Execute 67,Result 67,Pass,Medium
TC_068,Validation,Requirement_68,Test Case for Validation 68,System Ready,Execute 68,Result 68,Pass,Medium
TC_069,Validation,Requirement_69,Test Case for Validation 69,System Ready,Execute 69,Result 69,Pass,Medium
TC_070,Validation,Requirement_70,Test Case for Validation 70,System Ready,Execute 70,Result 70,Pass,Medium
TC_071,Validation,Requirement_71,Test Case for Validation 71,System Ready,Execute 71,Result 71,Pass,Medium
TC_072,Validation,Requirement_72,Test Case for Validation 72,System Ready,Execute 72,Result 72,Pass,Medium
TC_073,Validation,Requirement_73,Test Case for Validation 73,System Ready,Execute 73,Result 73,Pass,Medium
TC_074,Validation,Requirement_74,Test Case for Validation 74,System Ready,Execute 74,Result 74,Pass,Medium
TC_075,Validation,Requirement_75,Test Case for Validation 75,System Ready,Execute 75,Result 75,Pass,Medium
TC_076,Validation,Requirement_76,Test Case for Validation 76,System Ready,Execute 76,Result 76,Pass,Medium
TC_077,Validation,Requirement_77,Test Case for Validation 77,System Ready,Execute 77,Result 77,Pass,Medium
TC_078,Validation,Requirement_78,Test Case for Validation 78,System Ready,Execute 78,Result 78,Pass,Medium
TC_079,Validation,Requirement_79,Test Case for Validation 79,System Ready,Execute 79,Result 79,Pass,Medium
TC_080,Validation,Requirement_80,Test Case for Validation 80,System Ready,Execute 80,Result 80,Pass,Medium
TC_081,Validation,Requirement_81,Test Case for Validation 81,System Ready,Execute 81,Result 81,Pass,Medium
TC_082,Validation,Requirement_82,Test Case for Validation 82,System Ready,Execute 82,Result 82,Pass,Medium
TC_083,Validation,Requirement_83,Test Case for Validation 83,System Ready,Execute 83,Result 83,Pass,Medium
TC_084,Validation,Requirement_84,Test Case for Validation 84,System Ready,Execute 84,Result 84,Pass,Medium
TC_085,Validation,Requirement_85,Test Case for Validation 85,System Ready,Execute 85,Result 85,Pass,Medium
TC_086,Validation,Requirement_86,Test Case for Validation 86,System Ready,Execute 86,Result 86,Pass,Medium
TC_087,Validation,Requirement_87,Test Case for Validation 87,System Ready,Execute 87,Result 87,Pass,Medium
TC_088,Validation,Requirement_88,Test Case for Validation 88,System Ready,Execute 88,Result 88,Pass,Medium
TC_089,Validation,Requirement_89,Test Case for Validation 89,System Ready,Execute 89,Result 89,Pass,Medium
TC_090,Validation,Requirement_90,Test Case for Validation 90,System Ready,Execute 90,Result 90,Pass,Medium
TC_091,Validation,Requirement_91,Test Case for Validation 91,System Ready,Execute 91,Result 91,Pass,Medium
TC_092,Validation,Requirement_92,Test Case for Validation 92,System Ready,Execute 92,Result 92,Pass,Medium
TC_093,Validation,Requirement_93,Test Case for Validation 93,System Ready,Execute 93,Result 93,Pass,Medium
TC_094,Validation,Requirement_94,Test Case for Validation 94,System Ready,Execute 94,Result 94,Pass,Medium
TC_095,Validation,Requirement_95,Test Case for Validation 95,System Ready,Execute 95,Result 95,Pass,Medium
TC_096,Validation,Requirement_96,Test Case for Validation 96,System Ready,Execute 96,Result 96,Pass,Medium
TC_097,Validation,Requirement_97,Test Case for Validation 97,System Ready,Execute 97,Result 97,Pass,Medium
TC_098,Validation,Requirement_98,Test Case for Validation 98,System Ready,Execute 98,Result 98,Pass,Medium
TC_099,Validation,Requirement_99,Test Case for Validation 99,System Ready,Execute 99,Result 99,Pass,Medium
TC_100,Validation,Requirement_100,Test Case for Validation 100,System Ready,Execute 100,Result 100,Pass,Medium
TC_101,UI_UX,Requirement_101,Test Case for UI_UX 101,System Ready,Execute 101,Result 101,Pass,Medium
TC_102,UI_UX,Requirement_102,Test Case for UI_UX 102,System Ready,Execute 102,Result 102,Pass,Medium
TC_103,UI_UX,Requirement_103,Test Case for UI_UX 103,System Ready,Execute 103,Result 103,Pass,Medium
TC_104,UI_UX,Requirement_104,Test Case for UI_UX 104,System Ready,Execute 104,Result 104,Pass,Medium
TC_105,UI_UX,Requirement_105,Test Case for UI_UX 105,System Ready,Execute 105,Result 105,Pass,Medium
TC_106,UI_UX,Requirement_106,Test Case for UI_UX 106,System Ready,Execute 106,Result 106,Pass,Medium
TC_107,UI_UX,Requirement_107,Test Case for UI_UX 107,System Ready,Execute 107,Result 107,Pass,Medium
TC_108,UI_UX,Requirement_108,Test Case for UI_UX 108,System Ready,Execute 108,Result 108,Pass,Medium
TC_109,UI_UX,Requirement_109,Test Case for UI_UX 109,System Ready,Execute 109,Result 109,Pass,Medium
TC_110,UI_UX,Requirement_110,Test Case for UI_UX 110,System Ready,Execute 110,Result 110,Pass,Medium
TC_111,UI_UX,Requirement_111,Test Case for UI_UX 111,System Ready,Execute 111,Result 111,Pass,Medium
TC_112,UI_UX,Requirement_112,Test Case for UI_UX 112,System Ready,Execute 112,Result 112,Pass,Medium
TC_113,UI_UX,Requirement_113,Test Case for UI_UX 113,System Ready,Execute 113,Result 113,Pass,Medium
TC_114,UI_UX,Requirement_114,Test Case for UI_UX 114,System Ready,Execute 114,Result 114,Pass,Medium
TC_115,UI_UX,Requirement_115,Test Case for UI_UX 115,System Ready,Execute 115,Result 115,Pass,Medium
TC_116,UI_UX,Requirement_116,Test Case for UI_UX 116,System Ready,Execute 116,Result 116,Pass,Medium
TC_117,UI_UX,Requirement_117,Test Case for UI_UX 117,System Ready,Execute 117,Result 117,Pass,Medium
TC_118,UI_UX,Requirement_118,Test Case for UI_UX 118,System Ready,Execute 118,Result 118,Pass,Medium
TC_119,UI_UX,Requirement_119,Test Case for UI_UX 119,System Ready,Execute 119,Result 119,Pass,Medium
TC_120,UI_UX,Requirement_120,Test Case for UI_UX 120,System Ready,Execute 120,Result 120,Pass,Medium
TC_121,UI_UX,Requirement_121,Test Case for UI_UX 121,System Ready,Execute 121,Result 121,Pass,Medium
TC_122,UI_UX,Requirement_122,Test Case for UI_UX 122,System Ready,Execute 122,Result 122,Pass,Medium
TC_123,UI_UX,Requirement_123,Test Case for UI_UX 123,System Ready,Execute 123,Result 123,Pass,Medium
TC_124,UI_UX,Requirement_124,Test Case for UI_UX 124,System Ready,Execute 124,Result 124,Pass,Medium
TC_125,UI_UX,Requirement_125,Test Case for UI_UX 125,System Ready,Execute 125,Result 125,Pass,Medium
TC_126,UI_UX,Requirement_126,Test Case for UI_UX 126,System Ready,Execute 126,Result 126,Pass,Medium
TC_127,UI_UX,Requirement_127,Test Case for UI_UX 127,System Ready,Execute 127,Result 127,Pass,Medium
TC_128,UI_UX,Requirement_128,Test Case for UI_UX 128,System Ready,Execute 128,Result 128,Pass,Medium
TC_129,UI_UX,Requirement_129,Test Case for UI_UX 129,System Ready,Execute 129,Result 129,Pass,Medium
TC_130,UI_UX,Requirement_130,Test Case for UI_UX 130,System Ready,Execute 130,Result 130,Pass,Medium
TC_131,UI_UX,Requirement_131,Test Case for UI_UX 131,System Ready,Execute 131,Result 131,Pass,Medium
TC_132,UI_UX,Requirement_132,Test Case for UI_UX 132,System Ready,Execute 132,Result 132,Pass,Medium
TC_133,UI_UX,Requirement_133,Test Case for UI_UX 133,System Ready,Execute 133,Result 133,Pass,Medium
TC_134,UI_UX,Requirement_134,Test Case for UI_UX 134,System Ready,Execute 134,Result 134,Pass,Medium
TC_135,UI_UX,Requirement_135,Test Case for UI_UX 135,System Ready,Execute 135,Result 135,Pass,Medium
TC_136,UI_UX,Requirement_136,Test Case for UI_UX 136,System Ready,Execute 136,Result 136,Pass,Medium
TC_137,UI_UX,Requirement_137,Test Case for UI_UX 137,System Ready,Execute 137,Result 137,Pass,Medium
TC_138,UI_UX,Requirement_138,Test Case for UI_UX 138,System Ready,Execute 138,Result 138,Pass,Medium
TC_139,UI_UX,Requirement_139,Test Case for UI_UX 139,System Ready,Execute 139,Result 139,Pass,Medium
TC_140,UI_UX,Requirement_140,Test Case for UI_UX 140,System Ready,Execute 140,Result 140,Pass,Medium
